Rate ($/kg),Protein Source,Protein (g per 100g),Calories (kcal per 100g)
23.76,Chicken Breast,31,165
35.29,Beef,27,250
23.59,Peanut Butter,25,588
28.55,Salmon,25,208
6.64,Eggs,13,155
35.4,Greek Yogurt,10,59
32.48,Chicken Breast,31,165
26.53,Lentils,9,116
20.67,Beef,27,250
33.97,Eggs,13,155
20.05,Almonds,21,579
20.15,Beef,27,250
22.33,Whey Protein,80,400
23.64,Peanut Butter,25,588
22.68,Peanut Butter,25,588
40.34,Almonds,21,579
19.37,Eggs,13,155
33.12,Lentils,9,116
27.4,Peanut Butter,25,588
40.5,Peanut Butter,25,588
32.64,Almonds,21,579
48.12,Peanut Butter,25,588
22.51,Almonds,21,579
37.24,Salmon,25,208
39.27,Peanut Butter,25,588
15.54,Eggs,13,155
29.79,Whey Protein,80,400
47.67,Tofu,8,76
49.89,Greek Yogurt,10,59
38.26,Almonds,21,579
28.32,Almonds,21,579
20.99,Beef,27,250
16.98,Beef,27,250
49.21,Peanut Butter,25,588
24.89,Almonds,21,579
42.89,Chicken Breast,31,165
19.61,Lentils,9,116
42.01,Chicken Breast,31,165
49.15,Almonds,21,579
25.63,Peanut Butter,25,588
19.66,Chicken Breast,31,165
29.34,Lentils,9,116
48.25,Lentils,9,116
41.95,Greek Yogurt,10,59
45.79,Tofu,8,76
6.6,Tofu,8,76
19.23,Whey Protein,80,400
40.89,Whey Protein,80,400
17.76,Eggs,13,155
40.21,Chicken Breast,31,165
28.28,Greek Yogurt,10,59
7.65,Chicken Breast,31,165
40.61,Salmon,25,208
5.1,Almonds,21,579
47.36,Salmon,25,208
45.2,Tofu,8,76
29.93,Lentils,9,116
48.52,Peanut Butter,25,588
12.98,Greek Yogurt,10,59
49.75,Whey Protein,80,400
39.67,Tofu,8,76
30.75,Greek Yogurt,10,59
19.99,Whey Protein,80,400
38.45,Peanut Butter,25,588
12.93,Almonds,21,579
38.2,Tofu,8,76
26.24,Lentils,9,116
8.64,Peanut Butter,25,588
17.0,Chicken Breast,31,165
22.76,Greek Yogurt,10,59
8.56,Lentils,9,116
49.01,Eggs,13,155
31.36,Tofu,8,76
5.79,Tofu,8,76
34.17,Peanut Butter,25,588
14.61,Greek Yogurt,10,59
32.36,Peanut Butter,25,588
35.93,Peanut Butter,25,588
48.93,Eggs,13,155
30.99,Whey Protein,80,400
47.28,Beef,27,250
39.43,Chicken Breast,31,165
45.96,Whey Protein,80,400
6.85,Eggs,13,155
48.4,Beef,27,250
19.33,Beef,27,250
39.55,Tofu,8,76
25.82,Peanut Butter,25,588
13.1,Beef,27,250
27.71,Salmon,25,208
15.43,Beef,27,250
39.2,Tofu,8,76
18.65,Greek Yogurt,10,59
35.29,Eggs,13,155
22.67,Beef,27,250
17.6,Eggs,13,155
21.65,Chicken Breast,31,165
7.54,Eggs,13,155
38.8,Peanut Butter,25,588
19.25,Tofu,8,76
21.81,Salmon,25,208
24.5,Peanut Butter,25,588
34.51,Salmon,25,208
24.11,Greek Yogurt,10,59
35.81,Beef,27,250
31.83,Lentils,9,116
6.31,Almonds,21,579
31.32,Beef,27,250
5.27,Chicken Breast,31,165
46.96,Lentils,9,116
31.37,Chicken Breast,31,165
37.76,Salmon,25,208
17.67,Almonds,21,579
21.58,Greek Yogurt,10,59
22.56,Chicken Breast,31,165
47.8,Chicken Breast,31,165
30.13,Whey Protein,80,400
9.31,Chicken Breast,31,165
22.75,Almonds,21,579
36.95,Salmon,25,208
49.48,Peanut Butter,25,588
46.67,Chicken Breast,31,165
23.89,Beef,27,250
12.08,Greek Yogurt,10,59
46.91,Peanut Butter,25,588
27.06,Eggs,13,155
7.5,Salmon,25,208
32.37,Chicken Breast,31,165
16.9,Beef,27,250
24.68,Chicken Breast,31,165
42.88,Eggs,13,155
18.31,Whey Protein,80,400
28.66,Beef,27,250
14.4,Almonds,21,579
38.61,Almonds,21,579
5.37,Lentils,9,116
33.69,Lentils,9,116
44.93,Beef,27,250
13.98,Almonds,21,579
19.95,Peanut Butter,25,588
26.13,Peanut Butter,25,588
46.41,Whey Protein,80,400
32.19,Salmon,25,208
31.6,Greek Yogurt,10,59
11.6,Whey Protein,80,400
38.41,Tofu,8,76
19.9,Beef,27,250
9.72,Eggs,13,155
12.5,Peanut Butter,25,588
25.9,Tofu,8,76
34.15,Lentils,9,116
22.02,Chicken Breast,31,165
12.32,Chicken Breast,31,165
49.64,Peanut Butter,25,588
47.97,Peanut Butter,25,588
45.38,Eggs,13,155
25.18,Peanut Butter,25,588
11.79,Whey Protein,80,400
35.07,Greek Yogurt,10,59
32.76,Whey Protein,80,400
43.71,Eggs,13,155
16.05,Eggs,13,155
24.65,Salmon,25,208
38.88,Peanut Butter,25,588
23.56,Greek Yogurt,10,59
49.12,Tofu,8,76
25.37,Eggs,13,155
43.79,Tofu,8,76
29.55,Tofu,8,76
44.07,Lentils,9,116
40.31,Chicken Breast,31,165
26.7,Chicken Breast,31,165
18.15,Lentils,9,116
34.15,Tofu,8,76
17.4,Lentils,9,116
28.89,Peanut Butter,25,588
19.82,Salmon,25,208
25.22,Lentils,9,116
40.6,Lentils,9,116
32.47,Lentils,9,116
26.21,Almonds,21,579
16.43,Peanut Butter,25,588
15.56,Greek Yogurt,10,59
11.04,Lentils,9,116
37.66,Salmon,25,208
8.96,Salmon,25,208
33.67,Lentils,9,116
20.8,Whey Protein,80,400
9.38,Beef,27,250
37.86,Tofu,8,76
26.96,Lentils,9,116
40.19,Whey Protein,80,400
37.1,Whey Protein,80,400
18.45,Tofu,8,76
19.16,Greek Yogurt,10,59
41.37,Salmon,25,208
22.02,Tofu,8,76
42.24,Greek Yogurt,10,59
43.52,Peanut Butter,25,588
24.38,Salmon,25,208
8.18,Salmon,25,208
30.74,Peanut Butter,25,588
8.19,Whey Protein,80,400
27.7,Greek Yogurt,10,59
26.19,Chicken Breast,31,165
32.65,Eggs,13,155
40.4,Salmon,25,208
15.02,Beef,27,250
21.27,Salmon,25,208
26.56,Beef,27,250
32.41,Greek Yogurt,10,59
15.11,Salmon,25,208
33.61,Whey Protein,80,400
24.84,Eggs,13,155
26.32,Whey Protein,80,400
22.15,Almonds,21,579
47.59,Almonds,21,579
39.46,Chicken Breast,31,165
15.97,Lentils,9,116
48.99,Peanut Butter,25,588
47.23,Almonds,21,579
38.93,Whey Protein,80,400
25.31,Peanut Butter,25,588
33.15,Tofu,8,76
13.03,Lentils,9,116
9.46,Eggs,13,155
12.44,Peanut Butter,25,588
8.04,Chicken Breast,31,165
11.03,Tofu,8,76
29.73,Peanut Butter,25,588
13.14,Lentils,9,116
31.75,Salmon,25,208
46.46,Almonds,21,579
39.67,Eggs,13,155
8.3,Peanut Butter,25,588
42.95,Eggs,13,155
45.48,Tofu,8,76
8.23,Whey Protein,80,400
43.18,Tofu,8,76
47.13,Tofu,8,76
30.85,Tofu,8,76
26.52,Whey Protein,80,400
13.96,Greek Yogurt,10,59
11.5,Greek Yogurt,10,59
27.47,Whey Protein,80,400
24.38,Beef,27,250
24.94,Beef,27,250
29.9,Chicken Breast,31,165
33.21,Whey Protein,80,400
21.53,Eggs,13,155
6.67,Beef,27,250
41.94,Chicken Breast,31,165
38.45,Beef,27,250
13.08,Salmon,25,208
5.53,Peanut Butter,25,588
35.33,Beef,27,250
19.83,Salmon,25,208
25.19,Salmon,25,208
43.58,Eggs,13,155
6.13,Greek Yogurt,10,59
33.24,Lentils,9,116
37.72,Beef,27,250
32.03,Greek Yogurt,10,59
40.82,Salmon,25,208
43.49,Lentils,9,116
15.19,Salmon,25,208
30.92,Chicken Breast,31,165
29.32,Lentils,9,116
27.51,Beef,27,250
44.33,Beef,27,250
45.57,Salmon,25,208
24.12,Eggs,13,155
10.48,Greek Yogurt,10,59
24.16,Peanut Butter,25,588
14.55,Beef,27,250
11.8,Greek Yogurt,10,59
45.36,Almonds,21,579
46.05,Eggs,13,155
36.75,Eggs,13,155
42.04,Lentils,9,116
28.91,Beef,27,250
21.33,Chicken Breast,31,165
14.86,Tofu,8,76
24.99,Salmon,25,208
46.67,Tofu,8,76
49.15,Chicken Breast,31,165
14.27,Peanut Butter,25,588
28.98,Tofu,8,76
49.12,Chicken Breast,31,165
46.61,Greek Yogurt,10,59
26.17,Lentils,9,116
31.73,Peanut Butter,25,588
15.3,Salmon,25,208
44.63,Salmon,25,208
21.83,Greek Yogurt,10,59
24.52,Chicken Breast,31,165
42.94,Chicken Breast,31,165
25.22,Eggs,13,155
34.72,Almonds,21,579
44.65,Whey Protein,80,400
16.79,Greek Yogurt,10,59
40.11,Chicken Breast,31,165
32.43,Chicken Breast,31,165
35.82,Chicken Breast,31,165
42.51,Beef,27,250
19.38,Lentils,9,116
7.9,Greek Yogurt,10,59
30.54,Lentils,9,116
13.25,Chicken Breast,31,165
20.28,Eggs,13,155
45.77,Greek Yogurt,10,59
14.18,Peanut Butter,25,588
7.72,Beef,27,250
50.0,Tofu,8,76
37.22,Greek Yogurt,10,59
46.09,Chicken Breast,31,165
13.16,Tofu,8,76
39.97,Eggs,13,155
18.92,Eggs,13,155
37.16,Eggs,13,155
22.89,Peanut Butter,25,588
39.57,Lentils,9,116
40.43,Chicken Breast,31,165
16.76,Tofu,8,76
24.66,Chicken Breast,31,165
49.18,Greek Yogurt,10,59
10.31,Peanut Butter,25,588
30.33,Whey Protein,80,400
43.8,Salmon,25,208
30.8,Whey Protein,80,400
33.77,Greek Yogurt,10,59
42.45,Peanut Butter,25,588
39.77,Eggs,13,155
41.84,Tofu,8,76
10.64,Peanut Butter,25,588
45.29,Salmon,25,208
44.86,Greek Yogurt,10,59
25.33,Lentils,9,116
17.93,Peanut Butter,25,588
19.45,Eggs,13,155
9.27,Eggs,13,155
38.55,Almonds,21,579
12.12,Peanut Butter,25,588
30.5,Almonds,21,579
19.74,Tofu,8,76
44.82,Greek Yogurt,10,59
13.31,Lentils,9,116
8.92,Lentils,9,116
12.75,Salmon,25,208
46.63,Whey Protein,80,400
14.95,Salmon,25,208
31.46,Lentils,9,116
17.04,Lentils,9,116
29.95,Eggs,13,155
32.51,Eggs,13,155
43.59,Chicken Breast,31,165
33.27,Eggs,13,155
42.93,Salmon,25,208
40.2,Chicken Breast,31,165
28.23,Peanut Butter,25,588
14.22,Beef,27,250
20.62,Beef,27,250
22.68,Tofu,8,76
35.56,Chicken Breast,31,165
10.92,Peanut Butter,25,588
30.99,Tofu,8,76
33.63,Almonds,21,579
5.03,Tofu,8,76
31.03,Beef,27,250
27.12,Greek Yogurt,10,59
44.56,Lentils,9,116
23.17,Whey Protein,80,400
23.08,Whey Protein,80,400
21.93,Chicken Breast,31,165
39.46,Eggs,13,155
25.06,Eggs,13,155
39.71,Beef,27,250
23.2,Lentils,9,116
46.24,Tofu,8,76
6.4,Lentils,9,116
35.16,Almonds,21,579
34.84,Whey Protein,80,400
9.69,Eggs,13,155
37.61,Whey Protein,80,400
41.41,Almonds,21,579
49.51,Tofu,8,76
36.33,Peanut Butter,25,588
12.19,Greek Yogurt,10,59
45.36,Beef,27,250
15.03,Whey Protein,80,400
41.84,Salmon,25,208
18.92,Lentils,9,116
5.18,Lentils,9,116
12.5,Beef,27,250
21.45,Whey Protein,80,400
25.39,Almonds,21,579
11.29,Salmon,25,208
35.28,Whey Protein,80,400
36.12,Eggs,13,155
24.04,Greek Yogurt,10,59
46.43,Greek Yogurt,10,59
27.34,Salmon,25,208
6.4,Tofu,8,76
31.85,Eggs,13,155
25.65,Peanut Butter,25,588
45.88,Greek Yogurt,10,59
16.73,Tofu,8,76
48.56,Eggs,13,155
20.11,Lentils,9,116
30.19,Chicken Breast,31,165
43.85,Eggs,13,155
15.2,Salmon,25,208
47.51,Salmon,25,208
7.28,Salmon,25,208
37.09,Peanut Butter,25,588
18.87,Chicken Breast,31,165
31.91,Almonds,21,579
10.87,Salmon,25,208
11.61,Lentils,9,116
48.16,Lentils,9,116
33.21,Whey Protein,80,400
32.62,Salmon,25,208
15.93,Peanut Butter,25,588
25.1,Almonds,21,579
8.68,Peanut Butter,25,588
17.67,Tofu,8,76
6.17,Eggs,13,155
6.41,Greek Yogurt,10,59
37.12,Tofu,8,76
48.65,Tofu,8,76
33.53,Salmon,25,208
44.71,Chicken Breast,31,165
10.42,Whey Protein,80,400
45.13,Almonds,21,579
37.28,Greek Yogurt,10,59
21.3,Beef,27,250
26.11,Greek Yogurt,10,59
48.95,Chicken Breast,31,165
21.97,Greek Yogurt,10,59
25.32,Salmon,25,208
23.98,Peanut Butter,25,588
31.65,Whey Protein,80,400
42.69,Tofu,8,76
47.89,Chicken Breast,31,165
33.21,Eggs,13,155
45.01,Greek Yogurt,10,59
29.34,Eggs,13,155
16.49,Peanut Butter,25,588
8.37,Greek Yogurt,10,59
46.19,Tofu,8,76
32.48,Greek Yogurt,10,59
44.14,Whey Protein,80,400
20.46,Salmon,25,208
22.04,Salmon,25,208
48.99,Greek Yogurt,10,59
22.7,Chicken Breast,31,165
40.67,Beef,27,250
49.89,Tofu,8,76
28.22,Peanut Butter,25,588
9.13,Eggs,13,155
27.46,Beef,27,250
38.04,Eggs,13,155
13.4,Whey Protein,80,400
16.76,Chicken Breast,31,165
11.39,Lentils,9,116
8.12,Peanut Butter,25,588
18.4,Beef,27,250
15.91,Eggs,13,155
32.82,Salmon,25,208
47.14,Greek Yogurt,10,59
35.2,Eggs,13,155
34.19,Chicken Breast,31,165
12.12,Lentils,9,116
5.55,Tofu,8,76
25.12,Almonds,21,579
5.4,Eggs,13,155
23.97,Peanut Butter,25,588
22.55,Whey Protein,80,400
25.97,Tofu,8,76
39.61,Beef,27,250
21.69,Salmon,25,208
28.49,Whey Protein,80,400
10.53,Salmon,25,208
38.57,Chicken Breast,31,165
8.56,Greek Yogurt,10,59
7.05,Chicken Breast,31,165
18.54,Salmon,25,208
20.96,Eggs,13,155
42.86,Chicken Breast,31,165
30.74,Beef,27,250
35.96,Lentils,9,116
9.09,Whey Protein,80,400
40.92,Whey Protein,80,400
22.23,Whey Protein,80,400
38.97,Almonds,21,579
38.72,Salmon,25,208
41.61,Chicken Breast,31,165
29.85,Tofu,8,76
5.8,Peanut Butter,25,588
13.39,Almonds,21,579
36.92,Salmon,25,208
20.7,Lentils,9,116
36.87,Salmon,25,208
43.1,Peanut Butter,25,588
11.94,Tofu,8,76
41.29,Beef,27,250
8.9,Greek Yogurt,10,59
37.26,Tofu,8,76
30.36,Eggs,13,155
18.39,Salmon,25,208
30.62,Beef,27,250
8.5,Chicken Breast,31,165
48.48,Almonds,21,579
23.73,Whey Protein,80,400
29.1,Beef,27,250
19.71,Whey Protein,80,400
31.11,Salmon,25,208
10.74,Salmon,25,208
18.29,Chicken Breast,31,165
17.5,Beef,27,250
42.96,Almonds,21,579
26.41,Chicken Breast,31,165
35.03,Tofu,8,76
28.94,Almonds,21,579
35.0,Tofu,8,76
29.61,Salmon,25,208
7.08,Whey Protein,80,400
11.64,Almonds,21,579
42.3,Salmon,25,208
15.44,Greek Yogurt,10,59
49.81,Peanut Butter,25,588
11.76,Chicken Breast,31,165
19.36,Tofu,8,76
12.38,Tofu,8,76
13.91,Whey Protein,80,400
31.66,Greek Yogurt,10,59
28.66,Tofu,8,76
19.79,Salmon,25,208
26.82,Greek Yogurt,10,59
43.81,Salmon,25,208
18.88,Chicken Breast,31,165
15.85,Lentils,9,116
19.62,Tofu,8,76
49.12,Salmon,25,208
9.07,Eggs,13,155
17.21,Almonds,21,579
48.51,Lentils,9,116
20.21,Whey Protein,80,400
27.74,Chicken Breast,31,165
32.02,Beef,27,250
38.25,Whey Protein,80,400
49.61,Beef,27,250
21.59,Whey Protein,80,400
29.41,Almonds,21,579
39.91,Tofu,8,76
27.86,Tofu,8,76
8.54,Chicken Breast,31,165
18.3,Lentils,9,116
7.04,Salmon,25,208
32.37,Greek Yogurt,10,59
9.86,Chicken Breast,31,165
5.49,Whey Protein,80,400
39.0,Whey Protein,80,400
32.54,Greek Yogurt,10,59
41.74,Peanut Butter,25,588
41.93,Chicken Breast,31,165
36.19,Chicken Breast,31,165
13.56,Almonds,21,579
33.68,Eggs,13,155
18.02,Whey Protein,80,400
29.49,Greek Yogurt,10,59
49.67,Tofu,8,76
33.82,Beef,27,250
39.98,Eggs,13,155
42.97,Eggs,13,155
37.23,Beef,27,250
30.05,Chicken Breast,31,165
14.71,Eggs,13,155
11.3,Greek Yogurt,10,59
13.63,Beef,27,250
38.74,Tofu,8,76
16.92,Greek Yogurt,10,59
7.81,Lentils,9,116
32.91,Eggs,13,155
23.31,Beef,27,250
29.45,Almonds,21,579
30.55,Chicken Breast,31,165
40.38,Eggs,13,155
44.57,Tofu,8,76
45.95,Salmon,25,208
33.53,Almonds,21,579
20.52,Whey Protein,80,400
10.72,Beef,27,250
9.74,Beef,27,250
11.35,Lentils,9,116
34.99,Peanut Butter,25,588
10.63,Lentils,9,116
11.4,Salmon,25,208
27.51,Tofu,8,76
33.1,Beef,27,250
13.96,Greek Yogurt,10,59
33.72,Greek Yogurt,10,59
27.66,Beef,27,250
44.49,Peanut Butter,25,588
27.18,Peanut Butter,25,588
48.03,Peanut Butter,25,588
41.03,Salmon,25,208
19.57,Tofu,8,76
32.8,Whey Protein,80,400
36.12,Lentils,9,116
15.48,Greek Yogurt,10,59
14.9,Chicken Breast,31,165
6.6,Almonds,21,579
41.78,Chicken Breast,31,165
44.06,Eggs,13,155
41.45,Chicken Breast,31,165
46.52,Whey Protein,80,400
43.12,Salmon,25,208
34.08,Chicken Breast,31,165
20.91,Salmon,25,208
22.83,Almonds,21,579
45.23,Chicken Breast,31,165
22.49,Beef,27,250
21.19,Beef,27,250
46.8,Greek Yogurt,10,59
11.31,Salmon,25,208
19.18,Lentils,9,116
18.32,Eggs,13,155
11.97,Beef,27,250
32.03,Chicken Breast,31,165
19.51,Lentils,9,116
10.63,Tofu,8,76
37.5,Almonds,21,579
39.82,Salmon,25,208
10.31,Salmon,25,208
46.63,Salmon,25,208
11.67,Chicken Breast,31,165
15.07,Salmon,25,208
23.02,Almonds,21,579
43.05,Almonds,21,579
31.89,Lentils,9,116
47.78,Chicken Breast,31,165
47.28,Chicken Breast,31,165
37.04,Whey Protein,80,400
43.8,Lentils,9,116
38.8,Almonds,21,579
45.07,Beef,27,250
16.37,Tofu,8,76
28.41,Eggs,13,155
32.73,Beef,27,250
7.4,Greek Yogurt,10,59
30.3,Beef,27,250
22.84,Lentils,9,116
44.9,Tofu,8,76
33.55,Peanut Butter,25,588
12.71,Beef,27,250
8.41,Lentils,9,116
16.14,Salmon,25,208
11.53,Chicken Breast,31,165
31.63,Eggs,13,155
21.8,Salmon,25,208
10.38,Peanut Butter,25,588
20.32,Lentils,9,116
28.22,Peanut Butter,25,588
7.64,Greek Yogurt,10,59
17.06,Chicken Breast,31,165
16.71,Chicken Breast,31,165
30.4,Chicken Breast,31,165
25.73,Almonds,21,579
46.07,Lentils,9,116
12.05,Lentils,9,116
30.43,Eggs,13,155
9.37,Tofu,8,76
35.23,Tofu,8,76
33.82,Chicken Breast,31,165
16.47,Salmon,25,208
44.54,Chicken Breast,31,165
13.95,Salmon,25,208
33.54,Almonds,21,579
32.13,Almonds,21,579
20.36,Whey Protein,80,400
17.21,Lentils,9,116
8.01,Tofu,8,76
28.28,Peanut Butter,25,588
14.12,Eggs,13,155
48.6,Beef,27,250
22.58,Greek Yogurt,10,59
18.46,Eggs,13,155
42.06,Chicken Breast,31,165
42.57,Salmon,25,208
18.3,Eggs,13,155
5.06,Whey Protein,80,400
45.87,Chicken Breast,31,165
35.06,Salmon,25,208
8.15,Beef,27,250
19.24,Whey Protein,80,400
21.58,Eggs,13,155
45.72,Lentils,9,116
14.37,Peanut Butter,25,588
40.64,Tofu,8,76
35.46,Beef,27,250
6.9,Almonds,21,579
46.93,Peanut Butter,25,588
9.83,Salmon,25,208
43.06,Salmon,25,208
35.91,Beef,27,250
45.43,Beef,27,250
32.58,Beef,27,250
34.11,Almonds,21,579
45.64,Eggs,13,155
17.39,Chicken Breast,31,165
41.27,Lentils,9,116
15.67,Peanut Butter,25,588
8.97,Eggs,13,155
34.84,Eggs,13,155
21.74,Greek Yogurt,10,59
39.17,Tofu,8,76
23.72,Salmon,25,208
17.8,Greek Yogurt,10,59
8.75,Lentils,9,116
41.99,Almonds,21,579
11.78,Chicken Breast,31,165
34.52,Tofu,8,76
22.21,Salmon,25,208
10.13,Tofu,8,76
44.71,Greek Yogurt,10,59
29.62,Almonds,21,579
40.68,Peanut Butter,25,588
41.9,Lentils,9,116
19.5,Tofu,8,76
45.48,Whey Protein,80,400
27.13,Eggs,13,155
13.51,Almonds,21,579
32.97,Whey Protein,80,400
27.66,Lentils,9,116
16.13,Eggs,13,155
45.55,Eggs,13,155
29.15,Tofu,8,76
29.2,Peanut Butter,25,588
39.31,Beef,27,250
34.26,Beef,27,250
17.91,Eggs,13,155
43.34,Eggs,13,155
41.31,Lentils,9,116
43.66,Greek Yogurt,10,59
23.38,Almonds,21,579
15.86,Peanut Butter,25,588
41.09,Eggs,13,155
19.9,Salmon,25,208
34.67,Chicken Breast,31,165
45.0,Almonds,21,579
8.96,Salmon,25,208
36.96,Lentils,9,116
6.52,Almonds,21,579
23.38,Whey Protein,80,400
16.34,Salmon,25,208
16.92,Eggs,13,155
16.17,Whey Protein,80,400
24.69,Peanut Butter,25,588
12.72,Greek Yogurt,10,59
23.78,Tofu,8,76
22.39,Almonds,21,579
45.53,Salmon,25,208
35.42,Whey Protein,80,400
25.49,Beef,27,250
44.81,Greek Yogurt,10,59
44.35,Salmon,25,208
24.12,Peanut Butter,25,588
21.64,Lentils,9,116
24.29,Beef,27,250
27.28,Almonds,21,579
48.04,Tofu,8,76
15.0,Tofu,8,76
21.48,Tofu,8,76
14.02,Tofu,8,76
20.1,Lentils,9,116
25.3,Peanut Butter,25,588
26.29,Chicken Breast,31,165
27.9,Peanut Butter,25,588
11.04,Beef,27,250
27.58,Peanut Butter,25,588
16.73,Lentils,9,116
47.66,Tofu,8,76
26.36,Almonds,21,579
46.98,Chicken Breast,31,165
21.37,Greek Yogurt,10,59
30.5,Almonds,21,579
11.67,Eggs,13,155
40.8,Lentils,9,116
36.18,Peanut Butter,25,588
7.69,Chicken Breast,31,165
47.38,Eggs,13,155
27.05,Tofu,8,76
38.46,Beef,27,250
25.68,Chicken Breast,31,165
37.21,Greek Yogurt,10,59
35.73,Beef,27,250
25.31,Salmon,25,208
14.54,Eggs,13,155
46.76,Greek Yogurt,10,59
9.44,Peanut Butter,25,588
11.49,Beef,27,250
16.84,Whey Protein,80,400
26.34,Chicken Breast,31,165
27.93,Beef,27,250
42.83,Almonds,21,579
12.09,Almonds,21,579
49.77,Greek Yogurt,10,59
41.45,Whey Protein,80,400
17.62,Lentils,9,116
24.33,Eggs,13,155
31.05,Eggs,13,155
15.89,Beef,27,250
21.43,Peanut Butter,25,588
15.56,Lentils,9,116
17.49,Peanut Butter,25,588
37.57,Chicken Breast,31,165
17.57,Almonds,21,579
24.73,Salmon,25,208
43.02,Chicken Breast,31,165
14.51,Whey Protein,80,400
39.54,Beef,27,250
22.11,Salmon,25,208
33.95,Greek Yogurt,10,59
42.08,Lentils,9,116
37.9,Chicken Breast,31,165
9.32,Chicken Breast,31,165
17.15,Salmon,25,208
49.41,Salmon,25,208
38.72,Lentils,9,116
48.69,Eggs,13,155
26.87,Chicken Breast,31,165
33.27,Peanut Butter,25,588
27.92,Almonds,21,579
37.84,Beef,27,250
46.07,Salmon,25,208
12.59,Chicken Breast,31,165
39.7,Greek Yogurt,10,59
39.45,Lentils,9,116
40.12,Whey Protein,80,400
9.99,Beef,27,250
15.9,Whey Protein,80,400
34.78,Tofu,8,76
6.58,Greek Yogurt,10,59
21.49,Greek Yogurt,10,59
21.48,Lentils,9,116
23.12,Chicken Breast,31,165
10.82,Tofu,8,76
39.99,Peanut Butter,25,588
36.52,Eggs,13,155
37.09,Almonds,21,579
49.16,Salmon,25,208
39.21,Salmon,25,208
49.75,Whey Protein,80,400
23.82,Greek Yogurt,10,59
20.06,Peanut Butter,25,588
28.51,Tofu,8,76
49.07,Almonds,21,579
30.0,Peanut Butter,25,588
12.04,Chicken Breast,31,165
29.17,Eggs,13,155
24.84,Almonds,21,579
29.86,Lentils,9,116
30.88,Tofu,8,76
26.83,Chicken Breast,31,165
33.9,Lentils,9,116
27.49,Chicken Breast,31,165
21.5,Eggs,13,155
46.09,Almonds,21,579
16.86,Tofu,8,76
35.5,Tofu,8,76
47.06,Salmon,25,208
14.82,Salmon,25,208
17.56,Greek Yogurt,10,59
32.06,Almonds,21,579
6.82,Tofu,8,76
28.34,Tofu,8,76
7.68,Greek Yogurt,10,59
9.23,Whey Protein,80,400
27.24,Tofu,8,76
41.79,Eggs,13,155
37.75,Greek Yogurt,10,59
43.83,Tofu,8,76
9.16,Salmon,25,208
33.45,Chicken Breast,31,165
18.26,Peanut Butter,25,588
18.92,Beef,27,250
45.29,Greek Yogurt,10,59
5.18,Salmon,25,208
27.23,Tofu,8,76
32.54,Lentils,9,116
